episode_cnt,recent_win_rate,avg_reward,avg_q_value,epsilon
100,0.52,38.341198804305776,-0.09100783562737734,0.09992091128959735
200,0.04,41.89569809524665,-0.09056715459791086,0.09971523621613887
300,0.6,46.62159705056027,-0.08926496611148282,0.09962939343810398
400,0.02,37.41579167431252,-0.08944331136459788,0.09937420131172893
500,0.7,32.55980634914605,-0.0915802909759084,0.09929350745749287
600,0.0,20.78830203733646,-0.09012920524362933,0.09904746560032565
700,0.7,18.844680557444327,-0.0909487222108997,0.09895825412705685
800,0.06,49.22152113552183,-0.08478390782531309,0.0987258715962608
900,0.6,50.91348463134183,-0.08517791800480654,0.09864343537365652
1000,0.08,46.13669346344121,-0.08649666368686136,0.09840740305995588
1100,0.66,40.16543593262038,-0.08821503769975753,0.09830845990459339
1200,0.02,32.52380693410742,-0.08920721138173601,0.09801305023564509
1300,0.7,30.229898013999563,-0.09303605126699467,0.09792279728995269
1400,0.04,32.91392849730397,-0.09461261018280193,0.0976970520782164
1500,0.64,29.94126555024535,-0.09537634376227433,0.09760743173720317
1600,0.04,27.11822321440735,-0.09666206966483566,0.0973999926624342
1700,0.52,28.38561664228515,-0.09815793089818978,0.09730551668665799
1800,0.02,23.668000271888154,-0.09904639887903871,0.09711288699039954
1900,0.68,22.38152871045609,-0.10080906824923125,0.09701960148117016
2000,0.02,26.610242860646853,-0.09969544596709248,0.09675862596001684
2100,0.58,25.100044886648124,-0.10196164826827077,0.09665843592835642
2200,0.08,34.39678467395615,-0.1024809249457559,0.0964114465828242
2300,0.76,38.34512220367986,-0.10123792953548565,0.0963264347251644
2400,0.02,31.884123434261035,-0.10293614941962677,0.09606619498664418
2500,0.66,34.31278327966304,-0.10332416531782015,0.09597314233064906
2600,0.06,34.52866175005097,-0.10244453988319488,0.0957513555247874
2700,0.56,40.28064530469109,-0.10248635862143221,0.09566040623070694
2800,0.02,38.85998344246282,-0.10338507026112759,0.0954667371576417
2900,0.68,39.49737597032722,-0.10519439532498363,0.09537023567715983
3000,0.0,26.700731833299113,-0.10567764033486973,0.09514622651841115
3100,0.58,22.77896662065899,-0.11005925570308348,0.09504428441170683
3200,0.06,22.953764986866155,-0.11065407870770902,0.09481984612180139
3300,0.74,22.696204041096216,-0.1124094431375106,0.09472547151353489
3400,0.12,32.56876065963068,-0.11080411054635335,0.09449450026379044
3500,0.62,32.57884007663646,-0.11356547439332443,0.09441289699384814
3600,0.04,20.679079859497485,-0.11912309772054556,0.09420923703410905
3700,0.58,12.08351960718302,-0.12357781239237174,0.09412476923579968
3800,0.02,9.276293327050881,-0.12231592419202071,0.0939123625766135
3900,0.5,17.105399331331007,-0.12229404111332907,0.09381211771110368
4000,0.04,20.67217856045544,-0.12254311048447852,0.09363317779565888
4100,0.64,21.1822239847433,-0.12557808755387148,0.09353909565792425
4200,0.02,12.872585414989532,-0.1275962284378473,0.09337556405967858
4300,0.58,13.727592339657393,-0.1275142696506465,0.09327615802564429
4400,0.04,21.415266379553785,-0.12721850934777645,0.09307040820155348
4500,0.62,29.13064124292027,-0.12892936334722882,0.09296917941834033
4600,0.06,42.972109991103295,-0.1266625430718131,0.09276340636547722
4700,0.68,40.4034777069611,-0.12597893432351595,0.09266604200433158
4800,0.02,38.270419799299006,-0.1258918972557798,0.09246315436583549
4900,0.58,41.704292667540635,-0.12615613786616492,0.092370427983817
5000,0.02,31.321145333207667,-0.12766373957260574,0.09214748431906261
5100,0.6,30.107079427445466,-0.12907379100228267,0.0920559812527253
5200,0.02,18.57900387719308,-0.1324165119300924,0.09184931775467134
5300,0.6,25.644555539473206,-0.13341245421324205,0.09174041692378988
5400,0.02,27.090287721058186,-0.13341461605301053,0.09151722754323148
5500,0.5,23.084868749921764,-0.13522024676522004,0.09141797148481925
5600,0.0,16.089112182865925,-0.13582643768096994,0.09122707551245142
5700,0.54,16.333259812808123,-0.13806418156926956,0.09113414879723968
5800,0.02,17.56520120381263,-0.1374121414357514,0.0909203350015785
5900,0.7,20.62224703375483,-0.1376569521122579,0.09081671762959781
6000,0.04,26.37178666698477,-0.13896436576338697,0.09063431403679059
6100,0.6,26.118753678336212,-0.13969805287777434,0.09053932923123888
6200,0.1,31.109978220379606,-0.13799001480675535,0.09034120181572548
6300,0.6,31.75076556585325,-0.13842815100048164,0.09025693924202001
6400,0.02,35.83263375013615,-0.13847999648408257,0.090063306923154
6500,0.58,36.36855829213615,-0.1386124851549205,0.08997487217443126
6600,0.02,22.563241581619366,-0.13957452506846965,0.08976827997461805
6700,0.54,22.419173853151502,-0.1403203477335847,0.08966652698976206
6800,0.04,33.222020281851975,-0.13771753886061502,0.08947537816606588
6900,0.64,35.895612096334375,-0.14013933221094368,0.08937810423542754
7000,0.02,26.781694540629978,-0.1419491160346143,0.08915524117041476
7100,0.7,33.01495326202652,-0.14172017163693237,0.08907125193960519
7200,0.02,28.97108789273606,-0.14130979175000824,0.08886730330014575
7300,0.72,28.854575758613866,-0.14546694722761488,0.08876203572273679
7400,0.06,28.091294233837594,-0.1428918275979229,0.08854211662452616
7500,0.56,31.128575826465653,-0.1439221666845861,0.08846422498693503
7600,0.08,21.6357751928426,-0.14590098278457042,0.08829196287528027
7700,0.7,28.955169901302725,-0.14541377986412576,0.08819972391351061
7800,0.0,22.332505884176587,-0.14704550136320405,0.08796702978209732
7900,0.64,30.862288953197407,-0.14482056913143532,0.08787831141658692
8000,0.02,33.12661680066018,-0.14600169204101673,0.0876864017002049
8100,0.58,36.65963753023445,-0.14813189177277916,0.08760032277669985
8200,0.06,31.001926209957986,-0.14803174171682215,0.08743345874321383
