episode_cnt,recent_win_rate,avg_reward,avg_q_value,epsilon
100,0.6,14.19,14.947619751710064,0.09986202027614655
200,0.1,17.694,14.959051872570651,0.09956431685360204
300,0.6,17.228,14.970783574891076,0.09943701571526549
400,0.16,15.47,14.976932814714633,0.09916373628098797
500,0.56,16.482,14.988846320508934,0.09901513188074697
600,0.02,15.236,14.994789467078638,0.09868720824407909
700,0.58,13.92,15.009236925740003,0.09853078974821716
800,0.04,17.94,15.018094809887812,0.09820626242984185
900,0.54,17.69,15.03053282361924,0.09805054249666753
1000,0.16,14.774,15.03758481637682,0.09775375724413096
1100,0.68,15.152,15.050862631969096,0.0975942068258723
1200,0.14,13.978,15.05984847842045,0.09726604784432444
1300,0.62,13.968,15.071317080144743,0.09713281660002798
1400,0.12,16.18,15.078015417959142,0.0968153673366285
1500,0.74,14.1,15.085854581174726,0.09667620821592396
1600,0.04,16.014,15.095316564346701,0.09632668999056118
1700,0.62,16.73,15.106753032000286,0.09617885057332942
1800,0.04,17.8,15.111637243984978,0.09589468757736531
1900,0.62,15.09,15.124099879282841,0.09572965115221825
2000,0.12,16.806,15.126986195919589,0.09550052404084092
2100,0.62,17.864,15.141402403545946,0.09533652825612333
2200,0.06,14.804,15.143677794971824,0.0951019890517513
2300,0.52,17.418,15.150656667633784,0.09498041711029627
2400,0.08,16.054,15.158522560044428,0.09468471044196455
2500,0.44,19.852,15.168201427484558,0.09454821675175897
2600,0.12,17.292,15.171873682795855,0.09428103769037252
2700,0.54,16.18,15.178699167940657,0.0941453047945685
2800,0.04,17.106,15.185210585683967,0.09382042983316709
2900,0.6,13.258,15.196202334700304,0.0936738280990149
3000,0.12,18.618,15.19832194267793,0.09346131284050517
3100,0.52,16.322,15.205340367684643,0.09333277050905005
3200,0.1,17.358,15.210416008298209,0.0930409514256009
3300,0.66,16.828,15.218457645090202,0.09291898032073884
3400,0.1,17.496,15.22694789317345,0.09257621803717916
3500,0.58,15.998,15.239800745628155,0.0924061637771323
3600,0.08,17.324,15.24271161598591,0.09210821942818397
3700,0.52,15.378,15.25267185994594,0.09196074340294702
3800,0.08,14.646,15.255116992822085,0.09166749394040731
3900,0.54,15.666,15.26143841340033,0.09152836129144346
4000,0.06,15.932,15.2668687964132,0.09117027241875503
4100,0.52,15.364,15.274895170487929,0.09103576794075245
4200,0.1,17.298,15.278417271515524,0.0907706262218553
4300,0.64,14.834,15.286943567080451,0.09062324826234289
4400,0.12,12.596,15.291624833039862,0.09036809135903938
4500,0.64,17.35,15.300067515635808,0.09020539468797446
4600,0.22,15.952,15.309285190747127,0.08991633108018082
4700,0.54,16.01,15.316774681468495,0.08977066784268496
4800,0.14,15.718,15.322994483619109,0.08946179683416203
4900,0.54,15.142,15.330667854711846,0.08932547156494026
5000,0.08,17.574,15.333753189399928,0.0890747079713154
5100,0.46,16.214,15.342655378434916,0.08894066686635027
5200,0.12,15.734,15.347817260412983,0.08866528904533713
5300,0.56,15.676,15.356908977823478,0.08852546784451963
5400,0.14,16.76,15.360005078396798,0.0882923734338727
5500,0.72,17.156,15.370201391592826,0.08816126839876257
5600,0.1,14.826,15.371920000858884,0.0879083137993218
5700,0.54,14.886,15.378293998806164,0.08776976530741416
5800,0.06,16.454,15.382003402904791,0.0874965209997927
5900,0.56,16.592,15.39095988850822,0.08735376887994294
6000,0.08,17.19,15.394722140411078,0.08712013101426964
6100,0.52,14.41,15.40381304968689,0.08697741023071524
6200,0.12,15.846,15.40670814381329,0.0867352722731999
6300,0.46,16.6,15.412644916384613,0.08661064957461766
6400,0.06,14.92,15.415071076020826,0.08635014054688571
6500,0.5,16.056,15.422314599980007,0.0862228334837801
6600,0.04,13.652,15.422847538154492,0.08600609210125083
6700,0.46,15.988,15.429901111794104,0.08586923210289452
6800,0.1,16.146,15.437010245935966,0.08555093948593845
6900,0.44,14.632,15.442661173315997,0.0854057716258754
7000,0.04,16.414,15.442629061432712,0.08516252007955492
7100,0.48,17.298,15.448347190082798,0.08503449365177287
7200,0.1,13.272,15.452226967297529,0.08480554092599035
7300,0.46,17.124,15.461681982973436,0.08464837246236985
7400,0.06,16.672,15.466428130594188,0.08437317603877582
7500,0.4,11.34,15.472886782428695,0.08423519961703628
7600,0.12,16.386,15.477835346319385,0.0839860599019406
7700,0.52,14.14,15.483969979969626,0.08387007971775967
7800,0.06,16.214,15.486122589332782,0.08366125619863046
7900,0.44,15.26,15.492728268059254,0.08352976048775598
8000,0.06,18.136,15.49638728456067,0.0832652987963601
8100,0.52,14.516,15.505194764615684,0.08310809677698004
8200,0.04,17.29,15.506722645959792,0.08287909269047043
